,NaturalPersonID,ProductName,CreditSum,TypeOfWork,Employment,SignIP,sex,age,EducationStatus,otrasl_rabotodatelya,kolichestvo_rabotnikov_v_organizacii,OrgStanding_N,kolichestvo_detej_mladshe_18,LivingRegionName,Residence,IncomeDocumentKind,HaveSalaryCard,IsBankWorker,harakteristika_tekutschego_trudoustrojstva,ConfirmedMonthlyIncome (Target),month,day,year
85,39C881D7-303A-4592-AF55-794F0FFE961E,1,505000.0,0,2,0,1,27,5,28,4,1.333333,1,15,2,1,0,1,2,70356.65,11,13,2018
86,9BCF8897-7742-49F0-AFB2-9E8616EE19B4,1,626000.0,0,2,0,2,40,4,18,1,2.0,1,32,1,3,0,0,2,56825.5,11,6,2018
87,1B806505-6C43-4A6D-83D9-37362401C32E,1,101000.0,0,1,0,2,39,3,12,3,14.0,0,23,1,0,0,0,2,43889.0,11,21,2018
89,13C00FFA-8194-4950-A390-0C1581A2B9AA,2,31000.0,0,1,0,1,24,5,28,4,1.5,0,15,2,1,0,1,2,35058.74,11,14,2018
90,0285287E-A086-40DA-BC8E-730B961F29F8,1,205000.0,0,1,0,1,46,5,1,1,3.5,0,4,1,1,1,0,2,18414.74,11,22,2018
91,799C3672-C199-4CE5-B5FD-EA0E41F7650E,1,900000.0,0,2,0,2,35,5,1,3,11.166666,2,14,1,0,0,0,2,38100.53,11,7,2018
92,8649DF69-F674-4C50-A3C9-5411183A9D88,1,1591900.0,0,3,0,2,43,5,13,2,7.75,2,2,1,0,1,0,2,47743.47,11,14,2018
93,E9AE2A7D-D23D-42AA-93A4-FC19350FCCEE,2,50000.0,0,1,0,2,36,5,1,2,5.5,2,4,1,1,1,0,2,26289.57,11,9,2018
94,830A6170-D40E-4C9B-8DA9-F5C1D39025FC,1,551408.49,0,1,0,2,27,3,18,3,1.0,2,2,1,1,1,0,2,37232.87,11,8,2018
95,7E9893EE-ADDE-41C9-86C7-5503F7265449,1,701000.0,0,1,0,2,31,5,18,2,1.25,0,15,2,0,0,0,2,39139.41,10,29,2018
96,22393A51-FF96-4845-BBB1-5FEA4F3E77F6,1,701000.0,0,2,0,2,35,5,18,4,8.666666,2,44,1,0,0,0,2,152639.5,11,7,2018
98,76B06900-1FD6-4B48-A90B-35A22FC6BC91,1,564132.0,0,2,0,2,35,5,16,4,6.0,0,25,2,0,1,0,2,45040.98,11,8,2018
99,1717D187-AC21-4A04-9113-23021FCAB1E2,1,369112.22,0,1,0,1,45,5,1,2,12.916666,1,7,2,1,1,0,2,28219.32,11,12,2018
100,F8AC8DDF-FF49-452B-B996-CE0EE7C4608A,1,107844.0,0,1,0,2,39,2,18,2,19.0,0,14,1,1,1,0,2,27628.19,11,6,2018
101,5DAF355D-73E3-4D9A-8178-87DDE80E6CDC,2,31000.0,0,1,0,1,30,5,18,2,2.5,1,25,2,1,0,1,2,26419.09,11,9,2018
102,157E6A77-47D3-4645-B5AB-8A7A19D7DE56,1,505000.0,0,1,0,2,42,3,21,3,15.0,2,2,1,0,1,0,2,27973.88,11,7,2018
103,65FDAB03-5D3D-40E3-A1E2-A4162FEAAD9A,1,500000.0,0,1,0,2,55,2,18,4,29.0,0,12,2,0,0,0,2,37044.4,11,7,2018
104,B422962D-86BD-4EB6-A936-6F094A9B531A,2,50000.0,0,1,0,1,41,5,28,4,1.166666,0,13,2,1,0,1,2,25828.42,11,8,2018
105,74FEFA97-F062-4A24-9450-E32E04C80056,1,220000.0,0,1,0,1,21,5,1,3,2.75,0,15,1,1,1,0,2,30210.67,11,13,2018
106,CDF91305-7AD0-4BA1-A4FF-3A41C846DB4B,2,31000.0,0,1,0,2,33,5,28,4,1.333333,0,36,1,1,0,1,2,48977.23,11,29,2018
107,5AF91783-FD7C-4B89-8D4A-04D32B5A9D72,2,31000.0,0,1,0,1,23,5,28,4,1.166666,0,1,2,1,0,1,2,31903.4,11,7,2018
108,39E9E802-FD46-4930-B4EB-F7A788CB62D8,2,100000.0,0,1,0,2,43,2,18,1,14.833333,1,15,2,3,0,0,2,28615.0,11,10,2018
109,32084DA9-09E6-4749-A24E-5CE18FE0E13C,2,40000.0,0,1,0,2,38,5,13,3,2.666666,0,15,2,0,0,0,2,46791.0,11,12,2018
110,3632A7FD-8442-4F70-81CE-69BCEC14C640,1,504200.0,0,1,0,1,45,4,13,2,25.166666,1,10,2,1,1,0,2,22449.85,12,1,2018
111,97E97BC9-CFAE-4F7C-8EEE-7702FAB7F43D,1,945400.0,0,1,0,2,30,5,12,3,6.0,1,1,2,0,0,0,2,40917.75,11,7,2018
112,F5A3F66D-3576-4C25-9AB9-20ABDA923DF7,1,710000.0,0,4,0,1,55,5,1,2,19.0,0,30,2,0,0,0,2,26194.19,11,12,2018
113,CF079B21-EAE5-4545-8969-4E0E42FF8827,2,31000.0,0,1,0,1,27,5,28,4,1.416666,1,14,2,1,0,1,2,27815.2,11,8,2018
114,FC7B2331-96F3-41BC-9B39-90A6333E93AF,1,585000.0,0,1,0,2,33,5,18,4,1.166666,0,25,1,1,1,0,2,23677.69,11,12,2018
115,720C10E4-3FA2-42F3-894B-F0CB18E8A689,2,35000.0,0,1,0,1,55,3,28,4,24.0,0,6,2,1,0,1,2,23630.67,11,14,2018
116,DC348A27-78ED-4FB2-9818-B46D5563B540,2,31000.0,0,4,0,1,29,5,5,3,11.0,1,44,1,1,1,0,2,22683.83,11,14,2018
117,C89E87E9-EC58-495A-8F85-5A7990B21135,1,535350.0,0,1,0,1,31,5,2,4,7.0,0,36,2,0,0,0,2,60604.59,11,8,2018
118,FE32DB29-01EB-4966-AC43-1A080BE1B41E,2,50000.0,0,1,0,1,34,5,28,4,6.416666,1,13,2,1,0,1,2,25992.7,11,9,2018
119,14B7FA64-F5A2-431A-9C1E-45B84876499A,1,361584.63,0,1,0,2,52,3,18,4,8.25,0,26,2,0,0,0,2,19718.34,11,12,2018
120,317075E8-2E6A-44A6-BC51-3BCABCF7FF85,1,1054893.97,0,2,0,1,50,5,2,3,1.25,0,25,2,1,1,0,2,60811.92,12,5,2018
121,64DF22EF-96A4-4E02-93CD-87B7C4DE58AA,1,1000000.0,0,3,0,2,35,6,28,4,9.166666,0,18,2,1,0,1,2,72259.79,11,7,2018
122,4BD10032-9366-4A3B-9EFD-99022169B5D5,1,823500.0,0,1,0,2,54,2,24,4,2.0,0,1,2,0,0,0,2,35983.08,11,8,2018
123,1654B02E-C63D-48D3-B6B0-0C2AE71DBDC3,1,576668.0,0,1,0,2,23,2,9,4,0.583333,1,25,2,1,1,0,2,33311.16,11,13,2018
124,B3B555B3-7C8A-4CC3-AA0F-9BF4E00559EC,1,1500000.0,0,2,0,1,39,5,1,3,13.333333,0,15,2,1,1,0,2,89506.7,11,7,2018
125,12F5D7B7-E5E1-4FE5-A8F6-2265CA85DF87,1,513000.0,0,1,0,1,48,5,1,2,0.5,0,15,1,1,1,0,2,29670.0,11,12,2018
126,8DD7624C-0119-4E93-8C74-09D9CEE1BED5,1,300000.0,0,4,0,1,31,5,2,4,2.666666,0,44,2,1,1,0,2,65914.92,11,7,2018
127,81BF38DD-A964-4FFA-AF3C-C078DF0B87E0,1,173912.7,0,2,0,1,35,5,13,2,5.083333,2,26,2,0,0,0,2,37297.22,11,9,2018
128,D7F5F326-1D5B-4626-A558-24FF5FC94C0F,1,217500.0,0,1,0,2,22,3,15,4,1.416666,0,0,2,0,0,0,2,21200.0,11,7,2018
129,2F11E556-AEED-49A8-A8C6-71D4C6426434,1,412000.0,0,1,0,2,40,2,18,4,3.25,1,10,2,0,0,0,2,42739.37,11,13,2018
131,32226A72-D754-42EC-8147-61F6FC4FA150,1,1731046.87,0,1,0,2,34,5,12,4,3.75,2,16,2,0,0,0,2,91510.03,11,12,2018
132,3E6B2635-0D5C-4A02-9EC4-5DEE2DA7128C,2,31000.0,0,1,0,1,35,5,28,4,10.0,1,26,2,1,0,1,2,41961.4,11,26,2018
133,DA253F8B-A606-423B-953B-3378E65E83FE,1,473502.0,0,1,0,1,33,3,2,3,6.166666,2,27,2,1,1,0,2,27818.34,11,7,2018
134,1D7447BB-B365-4F88-8191-78CBA2CD974C,1,113990.0,0,1,0,1,62,3,2,3,5.0,0,25,2,1,1,0,2,15348.76,11,8,2018
135,2846C94B-8AC9-4A44-B096-5170704DA1DD,2,31000.0,0,1,0,1,42,5,18,1,2.25,1,25,2,1,0,1,2,31470.98,11,9,2018
136,CC001793-3903-4BF3-A26E-FFCCE988139E,1,712000.0,0,1,0,1,50,5,13,2,10.0,0,23,1,1,1,0,2,28511.46,11,15,2018
137,D5987A90-5C79-4B69-B2B8-3D573D8BFFCD,2,50000.0,0,4,0,1,48,5,28,2,15.0,0,2,1,1,0,1,2,34261.94,11,20,2018
138,98A9F7A9-D006-4BE4-A1D5-F34DEDD62B7A,1,630000.0,0,1,0,2,35,3,0,2,2.5,2,39,1,0,0,0,2,69351.19,11,16,2018
139,C1158141-C65E-4526-B658-3D979FD1F1FC,2,31000.0,0,1,0,1,29,5,13,2,10.0,1,27,2,1,1,0,2,35839.1,11,27,2018
140,531343C5-B7EE-461E-9398-B7DBF58448DF,1,847000.0,0,1,0,1,54,3,18,4,29.0,0,27,2,1,1,0,2,32706.92,11,9,2018
141,1833B2F7-7263-4F70-B2FA-B6A50FE76772,1,301606.14,0,4,0,1,48,5,0,4,4.0,1,1,2,0,0,0,2,51918.19,11,13,2018
142,95CF10DE-FD4E-4ACC-B571-023D8B66327D,1,168750.0,0,1,0,2,46,3,23,1,1.333333,0,2,1,0,0,0,2,20880.0,11,15,2018
143,0160A4F2-B5DF-4402-AB37-3FDF5E5695A4,1,580363.24,0,1,0,1,30,5,13,2,12.0,0,15,2,0,1,0,2,32586.89,11,14,2018
144,195B7235-DB85-4DD4-9959-85B7585B9F6B,1,990000.0,0,4,0,1,37,3,2,3,10.166666,2,4,1,1,1,0,2,43174.77,11,13,2018
145,D5023E27-ED51-4B66-B7D5-740FAD592F35,1,293200.0,0,1,0,1,44,5,13,2,12.083333,1,25,1,0,1,0,2,27156.49,11,12,2018
146,9943AA87-A8C3-480A-9ADD-DB30666122B5,1,803700.0,0,1,0,2,50,3,18,3,29.0,1,15,2,1,1,0,2,42033.37,11,8,2018
147,71A9AC04-560D-4A63-9044-CAD63ABA9B23,1,710000.0,0,2,0,1,53,3,29,4,33.0,0,26,2,0,0,0,2,53925.68,11,13,2018
148,0B47A090-2A10-4426-8E86-7440A28F3339,2,50000.0,0,3,0,1,41,5,13,2,22.0,1,44,1,1,1,0,2,35368.36,11,14,2018
149,7DE34024-0A47-4382-A1F4-2EF89DF48E67,1,112500.0,0,1,0,1,32,3,8,4,8.0,1,13,2,0,0,0,2,42166.66,11,16,2018
150,9FA6408F-849E-4AA1-AB12-500A70CDA646,2,31000.0,0,2,0,1,28,3,28,4,2.0,0,9,2,1,0,1,2,54179.37,11,22,2018
151,3EB56891-EF18-417E-B677-57866A038253,1,710000.0,0,4,0,2,33,5,12,4,9.416666,2,1,2,0,0,0,2,56348.0,12,4,2018
152,7DAC1E72-D61B-41E1-9DD8-3E46A3D8232E,1,501714.0,0,1,0,1,39,3,2,4,12.0,2,41,1,0,0,0,2,45973.4,11,28,2018
153,9FF85F20-C6C3-44AC-9653-1C4541B633E3,2,31000.0,0,1,0,1,25,5,28,4,3.083333,1,15,2,1,0,1,2,22338.0,11,1,2018
154,63DE497C-4B50-4642-B4ED-B5226D04F021,2,35000.0,0,1,0,1,32,5,28,4,0.25,1,9,2,1,0,1,2,31240.8,11,21,2018
155,399B643B-EC64-4762-A4DA-C6ABAB5D78D4,1,2016000.0,0,1,0,2,26,5,18,2,3.083333,0,31,2,3,0,0,2,64833.34,11,9,2018
156,74D926F5-4731-4FD1-A8CB-13E702361305,2,50000.0,0,1,0,1,27,5,28,4,0.5,1,27,2,1,0,1,2,22129.38,11,22,2018
157,D3E063CA-F0BF-48AD-ADE1-7C93107D7B78,1,150762.84,0,1,0,1,23,5,18,4,2.0,0,41,2,1,1,0,2,27772.13,10,26,2018
